Menu Item ID,Menu Category,Menu Sub-Category,Menu Item Name,Ingredient Type,Ingredient ID,Ingredient Name,Quantity,Unit
14,Non-Veg Appetizers,Chicken Snacks,Chicken Sauté,Inventory,89,Oil Refined Sunflower,0.02,LTR
14,Non-Veg Appetizers,Chicken Snacks,Chicken Sauté,Inventory,127,Salt - Table Salt,0.005,KG
14,Non-Veg Appetizers,Chicken Snacks,Chicken Sauté,Inventory,109,Powder - Chilly,0.005,KG
14,Non-Veg Appetizers,Chicken Snacks,Chicken Sauté,Inventory,1,Turmeric Powder,0.002,KG
14,Non-Veg Appetizers,Chicken Snacks,Chicken Sauté,Inventory,214,Curd Pot 5 Ltr,0.05,NO
14,Non-Veg Appetizers,Chicken Snacks,Chicken Sauté,Inventory,131,Sauce Hot Garlic,0.01,BOT
15,Non-Veg Appetizers,Chicken Snacks,Chicken Shashlik,Fresh,N/A,Chicken Boneless,0.25,KG
15,Non-Veg Appetizers,Chicken Snacks,Chicken Shashlik,Inventory,89,Oil Refined Sunflower,0.02,LTR
15,Non-Veg Appetizers,Chicken Snacks,Chicken Shashlik,Inventory,127,Salt - Table Salt,0.005,KG
15,Non-Veg Appetizers,Chicken Snacks,Chicken Shashlik,Inventory,109,Powder - Chilly,0.005,KG
15,Non-Veg Appetizers,Chicken Snacks,Chicken Shashlik,Inventory,1,Turmeric Powder,0.002,KG
15,Non-Veg Appetizers,Chicken Snacks,Chicken Shashlik,Inventory,214,Curd Pot 5 Ltr,0.05,NO
15,Non-Veg Appetizers,Chicken Snacks,Chicken Shashlik,Inventory,131,Sauce Hot Garlic,0.01,BOT
16,Non-Veg Appetizers,Chicken Snacks,Chicken Small Fingers,Fresh,N/A,Chicken Boneless,0.25,KG
16,Non-Veg Appetizers,Chicken Snacks,Chicken Small Fingers,Inventory,89,Oil Refined Sunflower,0.02,LTR
16,Non-Veg Appetizers,Chicken Snacks,Chicken Small Fingers,Inventory,127,Salt - Table Salt,0.005,KG
16,Non-Veg Appetizers,Chicken Snacks,Chicken Small Fingers,Inventory,109,Powder - Chilly,0.005,KG
16,Non-Veg Appetizers,Chicken Snacks,Chicken Small Fingers,Inventory,1,Turmeric Powder,0.002,KG
16,Non-Veg Appetizers,Chicken Snacks,Chicken Small Fingers,Inventory,214,Curd Pot 5 Ltr,0.05,NO
16,Non-Veg Appetizers,Chicken Snacks,Chicken Small Fingers,Inventory,131,Sauce Hot Garlic,0.01,BOT
17,Non-Veg Appetizers,Chicken Snacks,Chicken Springli,Fresh,N/A,Chicken Boneless,0.25,KG
17,Non-Veg Appetizers,Chicken Snacks,Chicken Springli,Inventory,89,Oil Refined Sunflower,0.02,LTR
17,Non-Veg Appetizers,Chicken Snacks,Chicken Springli,Inventory,127,Salt - Table Salt,0.005,KG
17,Non-Veg Appetizers,Chicken Snacks,Chicken Springli,Inventory,109,Powder - Chilly,0.005,KG
17,Non-Veg Appetizers,Chicken Snacks,Chicken Springli,Inventory,1,Turmeric Powder,0.002,KG
17,Non-Veg Appetizers,Chicken Snacks,Chicken Springli,Inventory,214,Curd Pot 5 Ltr,0.05,NO
17,Non-Veg Appetizers,Chicken Snacks,Chicken Springli,Inventory,131,Sauce Hot Garlic,0.01,BOT
18,Non-Veg Appetizers,Chicken Snacks,Chicken Tandoori Kabab,Fresh,N/A,Chicken Boneless,0.25,KG
18,Non-Veg Appetizers,Chicken Snacks,Chicken Tandoori Kabab,Inventory,89,Oil Refined Sunflower,0.02,LTR
18,Non-Veg Appetizers,Chicken Snacks,Chicken Tandoori Kabab,Inventory,127,Salt - Table Salt,0.005,KG
18,Non-Veg Appetizers,Chicken Snacks,Chicken Tandoori Kabab,Inventory,109,Powder - Chilly,0.005,KG
18,Non-Veg Appetizers,Chicken Snacks,Chicken Tandoori Kabab,Inventory,1,Turmeric Powder,0.002,KG
18,Non-Veg Appetizers,Chicken Snacks,Chicken Tandoori Kabab,Inventory,214,Curd Pot 5 Ltr,0.05,NO
18,Non-Veg Appetizers,Chicken Snacks,Chicken Tandoori Kabab,Inventory,131,Sauce Hot Garlic,0.01,BOT
19,Non-Veg Appetizers,Chicken Snacks,Chicken Wings,Fresh,N/A,Chicken Boneless,0.25,KG
19,Non-Veg Appetizers,Chicken Snacks,Chicken Wings,Inventory,89,Oil Refined Sunflower,0.02,LTR
19,Non-Veg Appetizers,Chicken Snacks,Chicken Wings,Inventory,127,Salt - Table Salt,0.005,KG
19,Non-Veg Appetizers,Chicken Snacks,Chicken Wings,Inventory,109,Powder - Chilly,0.005,KG
19,Non-Veg Appetizers,Chicken Snacks,Chicken Wings,Inventory,1,Turmeric Powder,0.002,KG
19,Non-Veg Appetizers,Chicken Snacks,Chicken Wings,Inventory,214,Curd Pot 5 Ltr,0.05,NO
19,Non-Veg Appetizers,Chicken Snacks,Chicken Wings,Inventory,131,Sauce Hot Garlic,0.01,BOT
20,Non-Veg Appetizers,Chicken Snacks,Chilli Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
20,Non-Veg Appetizers,Chicken Snacks,Chilli Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
20,Non-Veg Appetizers,Chicken Snacks,Chilli Chicken,Inventory,127,Salt - Table Salt,0.005,KG
20,Non-Veg Appetizers,Chicken Snacks,Chilli Chicken,Inventory,109,Powder - Chilly,0.005,KG
20,Non-Veg Appetizers,Chicken Snacks,Chilli Chicken,Inventory,1,Turmeric Powder,0.002,KG
20,Non-Veg Appetizers,Chicken Snacks,Chilli Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
20,Non-Veg Appetizers,Chicken Snacks,Chilli Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
21,Non-Veg Appetizers,Chicken Snacks,Drums Of Heaven,Fresh,N/A,Chicken Boneless,0.25,KG
21,Non-Veg Appetizers,Chicken Snacks,Drums Of Heaven,Inventory,89,Oil Refined Sunflower,0.02,LTR
21,Non-Veg Appetizers,Chicken Snacks,Drums Of Heaven,Inventory,127,Salt - Table Salt,0.005,KG
21,Non-Veg Appetizers,Chicken Snacks,Drums Of Heaven,Inventory,109,Powder - Chilly,0.005,KG
21,Non-Veg Appetizers,Chicken Snacks,Drums Of Heaven,Inventory,1,Turmeric Powder,0.002,KG
21,Non-Veg Appetizers,Chicken Snacks,Drums Of Heaven,Inventory,214,Curd Pot 5 Ltr,0.05,NO
21,Non-Veg Appetizers,Chicken Snacks,Drums Of Heaven,Inventory,131,Sauce Hot Garlic,0.01,BOT
22,Non-Veg Appetizers,Chicken Snacks,Fried Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
22,Non-Veg Appetizers,Chicken Snacks,Fried Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
22,Non-Veg Appetizers,Chicken Snacks,Fried Chicken,Inventory,127,Salt - Table Salt,0.005,KG
22,Non-Veg Appetizers,Chicken Snacks,Fried Chicken,Inventory,109,Powder - Chilly,0.005,KG
22,Non-Veg Appetizers,Chicken Snacks,Fried Chicken,Inventory,1,Turmeric Powder,0.002,KG
22,Non-Veg Appetizers,Chicken Snacks,Fried Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
22,Non-Veg Appetizers,Chicken Snacks,Fried Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
23,Non-Veg Appetizers,Chicken Snacks,Fried Corn Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
23,Non-Veg Appetizers,Chicken Snacks,Fried Corn Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
23,Non-Veg Appetizers,Chicken Snacks,Fried Corn Chicken,Inventory,127,Salt - Table Salt,0.005,KG
23,Non-Veg Appetizers,Chicken Snacks,Fried Corn Chicken,Inventory,109,Powder - Chilly,0.005,KG
23,Non-Veg Appetizers,Chicken Snacks,Fried Corn Chicken,Inventory,1,Turmeric Powder,0.002,KG
23,Non-Veg Appetizers,Chicken Snacks,Fried Corn Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
23,Non-Veg Appetizers,Chicken Snacks,Fried Corn Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
24,Non-Veg Appetizers,Chicken Snacks,Ginger Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
24,Non-Veg Appetizers,Chicken Snacks,Ginger Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
24,Non-Veg Appetizers,Chicken Snacks,Ginger Chicken,Inventory,127,Salt - Table Salt,0.005,KG
24,Non-Veg Appetizers,Chicken Snacks,Ginger Chicken,Inventory,109,Powder - Chilly,0.005,KG
24,Non-Veg Appetizers,Chicken Snacks,Ginger Chicken,Inventory,1,Turmeric Powder,0.002,KG
24,Non-Veg Appetizers,Chicken Snacks,Ginger Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
24,Non-Veg Appetizers,Chicken Snacks,Ginger Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
25,Non-Veg Appetizers,Chicken Snacks,Grilled Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
25,Non-Veg Appetizers,Chicken Snacks,Grilled Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
25,Non-Veg Appetizers,Chicken Snacks,Grilled Chicken,Inventory,127,Salt - Table Salt,0.005,KG
25,Non-Veg Appetizers,Chicken Snacks,Grilled Chicken,Inventory,109,Powder - Chilly,0.005,KG
25,Non-Veg Appetizers,Chicken Snacks,Grilled Chicken,Inventory,1,Turmeric Powder,0.002,KG
25,Non-Veg Appetizers,Chicken Snacks,Grilled Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
25,Non-Veg Appetizers,Chicken Snacks,Grilled Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
26,Non-Veg Appetizers,Chicken Snacks,Lemon Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
26,Non-Veg Appetizers,Chicken Snacks,Lemon Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
26,Non-Veg Appetizers,Chicken Snacks,Lemon Chicken,Inventory,127,Salt - Table Salt,0.005,KG
26,Non-Veg Appetizers,Chicken Snacks,Lemon Chicken,Inventory,109,Powder - Chilly,0.005,KG
26,Non-Veg Appetizers,Chicken Snacks,Lemon Chicken,Inventory,1,Turmeric Powder,0.002,KG
26,Non-Veg Appetizers,Chicken Snacks,Lemon Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
26,Non-Veg Appetizers,Chicken Snacks,Lemon Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
27,Non-Veg Appetizers,Chicken Snacks,Murg Gulafi Tikka,Fresh,N/A,Chicken Boneless,0.25,KG
27,Non-Veg Appetizers,Chicken Snacks,Murg Gulafi Tikka,Inventory,89,Oil Refined Sunflower,0.02,LTR
27,Non-Veg Appetizers,Chicken Snacks,Murg Gulafi Tikka,Inventory,127,Salt - Table Salt,0.005,KG
27,Non-Veg Appetizers,Chicken Snacks,Murg Gulafi Tikka,Inventory,109,Powder - Chilly,0.005,KG
27,Non-Veg Appetizers,Chicken Snacks,Murg Gulafi Tikka,Inventory,1,Turmeric Powder,0.002,KG
27,Non-Veg Appetizers,Chicken Snacks,Murg Gulafi Tikka,Inventory,214,Curd Pot 5 Ltr,0.05,NO
27,Non-Veg Appetizers,Chicken Snacks,Murg Gulafi Tikka,Inventory,131,Sauce Hot Garlic,0.01,BOT
28,Non-Veg Appetizers,Chicken Snacks,Pepper Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
28,Non-Veg Appetizers,Chicken Snacks,Pepper Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
28,Non-Veg Appetizers,Chicken Snacks,Pepper Chicken,Inventory,127,Salt - Table Salt,0.005,KG
28,Non-Veg Appetizers,Chicken Snacks,Pepper Chicken,Inventory,109,Powder - Chilly,0.005,KG
28,Non-Veg Appetizers,Chicken Snacks,Pepper Chicken,Inventory,1,Turmeric Powder,0.002,KG
28,Non-Veg Appetizers,Chicken Snacks,Pepper Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
28,Non-Veg Appetizers,Chicken Snacks,Pepper Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
29,Non-Veg Appetizers,Chicken Snacks,Reshmi Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
29,Non-Veg Appetizers,Chicken Snacks,Reshmi Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
29,Non-Veg Appetizers,Chicken Snacks,Reshmi Chicken,Inventory,127,Salt - Table Salt,0.005,KG
29,Non-Veg Appetizers,Chicken Snacks,Reshmi Chicken,Inventory,109,Powder - Chilly,0.005,KG
29,Non-Veg Appetizers,Chicken Snacks,Reshmi Chicken,Inventory,1,Turmeric Powder,0.002,KG
29,Non-Veg Appetizers,Chicken Snacks,Reshmi Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
29,Non-Veg Appetizers,Chicken Snacks,Reshmi Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
30,Non-Veg Appetizers,Chicken Snacks,Spicy Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
30,Non-Veg Appetizers,Chicken Snacks,Spicy Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
30,Non-Veg Appetizers,Chicken Snacks,Spicy Chicken,Inventory,127,Salt - Table Salt,0.005,KG
30,Non-Veg Appetizers,Chicken Snacks,Spicy Chicken,Inventory,109,Powder - Chilly,0.005,KG
30,Non-Veg Appetizers,Chicken Snacks,Spicy Chicken,Inventory,1,Turmeric Powder,0.002,KG
30,Non-Veg Appetizers,Chicken Snacks,Spicy Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
30,Non-Veg Appetizers,Chicken Snacks,Spicy Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
31,Non-Veg Appetizers,Mutton Snacks,Ginara Mutton Sheek,Fresh,N/A,Mutton,0.25,KG
31,Non-Veg Appetizers,Mutton Snacks,Ginara Mutton Sheek,Inventory,89,Oil Refined Sunflower,0.04,LTR
31,Non-Veg Appetizers,Mutton Snacks,Ginara Mutton Sheek,Inventory,127,Salt - Table Salt,0.005,KG
31,Non-Veg Appetizers,Mutton Snacks,Ginara Mutton Sheek,Inventory,109,Powder - Chilly,0.008,KG
31,Non-Veg Appetizers,Mutton Snacks,Ginara Mutton Sheek,Inventory,76,Garam Masala,0.005,KG
32,Non-Veg Appetizers,Mutton Snacks,Mutton Boti Kabab,Fresh,N/A,Mutton,0.25,KG
32,Non-Veg Appetizers,Mutton Snacks,Mutton Boti Kabab,Inventory,89,Oil Refined Sunflower,0.04,LTR
32,Non-Veg Appetizers,Mutton Snacks,Mutton Boti Kabab,Inventory,127,Salt - Table Salt,0.005,KG
32,Non-Veg Appetizers,Mutton Snacks,Mutton Boti Kabab,Inventory,109,Powder - Chilly,0.008,KG
32,Non-Veg Appetizers,Mutton Snacks,Mutton Boti Kabab,Inventory,76,Garam Masala,0.005,KG
33,Non-Veg Appetizers,Mutton Snacks,Mutton Chops,Fresh,N/A,Mutton,0.25,KG
33,Non-Veg Appetizers,Mutton Snacks,Mutton Chops,Inventory,89,Oil Refined Sunflower,0.04,LTR
33,Non-Veg Appetizers,Mutton Snacks,Mutton Chops,Inventory,127,Salt - Table Salt,0.005,KG
33,Non-Veg Appetizers,Mutton Snacks,Mutton Chops,Inventory,109,Powder - Chilly,0.008,KG
33,Non-Veg Appetizers,Mutton Snacks,Mutton Chops,Inventory,76,Garam Masala,0.005,KG
34,Non-Veg Appetizers,Mutton Snacks,Mutton Keema Balls,Fresh,N/A,Mutton,0.25,KG
34,Non-Veg Appetizers,Mutton Snacks,Mutton Keema Balls,Inventory,89,Oil Refined Sunflower,0.04,LTR
34,Non-Veg Appetizers,Mutton Snacks,Mutton Keema Balls,Inventory,127,Salt - Table Salt,0.005,KG
34,Non-Veg Appetizers,Mutton Snacks,Mutton Keema Balls,Inventory,109,Powder - Chilly,0.008,KG
34,Non-Veg Appetizers,Mutton Snacks,Mutton Keema Balls,Inventory,76,Garam Masala,0.005,KG
35,Non-Veg Appetizers,Mutton Snacks,Mutton Shami Kabab,Fresh,N/A,Mutton,0.25,KG
35,Non-Veg Appetizers,Mutton Snacks,Mutton Shami Kabab,Inventory,89,Oil Refined Sunflower,0.04,LTR
35,Non-Veg Appetizers,Mutton Snacks,Mutton Shami Kabab,Inventory,127,Salt - Table Salt,0.005,KG
35,Non-Veg Appetizers,Mutton Snacks,Mutton Shami Kabab,Inventory,109,Powder - Chilly,0.008,KG
35,Non-Veg Appetizers,Mutton Snacks,Mutton Shami Kabab,Inventory,76,Garam Masala,0.005,KG
36,Non-Veg Appetizers,Mutton Snacks,Mutton Sheek Kabab,Fresh,N/A,Mutton,0.25,KG
36,Non-Veg Appetizers,Mutton Snacks,Mutton Sheek Kabab,Inventory,89,Oil Refined Sunflower,0.04,LTR
36,Non-Veg Appetizers,Mutton Snacks,Mutton Sheek Kabab,Inventory,127,Salt - Table Salt,0.005,KG
